iter	Passed	Remaining
626	41108	24455
627	41178	24392
628	41244	24326
629	41303	24257
630	41378	24197
631	41475	24150
632	41550	24089
633	41619	24026
634	41689	23963
635	41761	23901
636	41833	23838
637	41907	23778
638	41965	23708
639	42027	23640
640	42104	23581
641	42164	23512
642	42229	23445
643	42287	23376
644	42342	23304
645	42400	23234
646	42471	23172
647	42536	23106
648	42593	23035
649	42655	22968
650	42719	22901
651	42781	22834
652	42840	22765
653	42904	22698
654	42970	22633
655	43038	22569
656	43109	22506
657	43176	22441
658	43241	22375
659	43298	22305
660	43371	22243
661	43433	22175
662	43493	22107
663	43555	22039
664	43616	21972
665	43691	21911
666	43766	21850
667	43834	21785
668	43908	21724
669	43989	21666
670	44075	21610
671	44148	21548
672	44227	21489
673	44309	21431
674	44391	21373
675	44468	21313
676	44545	21252
677	44603	21183
678	44659	21113
679	44718	21043
680	44773	20973
681	44832	20904
682	44891	20835
683	44949	20766
684	45014	20699
685	45077	20633
686	45137	20564
687	45205	20499
688	45262	20430
689	45327	20364
690	45386	20295
691	45447	20228
692	45509	20160
693	45574	20094
694	45643	20030
695	45709	19965
696	45775	19899
697	45835	19831
698	45897	19764
699	45960	19697
700	46017	19628
701	46084	19562
702	46140	19493
703	46196	19423
704	46259	19357
705	46315	19287
706	46372	19218
707	46426	19147
708	46486	19079
709	46543	19010
710	46601	18942
711	46666	18876
712	46727	18808
713	46786	18740
714	46852	18675
715	46914	18608
716	46975	18541
717	47040	18475
718	47096	18406
719	47154	18337
720	47223	18273
721	47287	18207
722	47351	18141
723	47419	18077
724	47478	18009
725	47535	17940
726	47590	17870
727	47655	17805
728	47717	17738
729	47781	17672
730	47849	17607
731	47910	17540
732	47966	17471
733	48026	17404
734	48085	17336
735	48151	17271
736	48219	17207
737	48285	17141
738	48355	17078
739	48422	17013
740	48489	16948
741	48545	16879
742	48609	16813
743	48671	16747
744	48726	16678
745	48782	16609
746	48842	16542
747	48896	16473
748	48958	16406
749	49015	16338
750	49080	16272
751	49141	16206
752	49196	16137
753	49255	16070
754	49320	16004
755	49377	15936
756	49440	15870
757	49514	15808
758	49593	15747
759	49661	15682
760	49728	15617
761	49786	15550
762	49844	15482
763	49902	15415
764	49965	15348
765	50032	15284
766	50086	15215
767	50143	15147
768	50209	15082
769	50274	15017
770	50328	14948
771	50389	14881
772	50449	14815
773	50505	14747
774	50569	14681
775	50632	14615
776	50699	14550
777	50761	14484
778	50823	14418
779	50891	14353
780	50964	14291
781	51024	14224
782	51084	14157
783	51144	14090
784	51203	14023
785	51265	13957
786	51320	13889
787	51379	13822
788	51434	13755
789	51493	13688
790	51551	13621
791	51610	13554
792	51667	13487
793	51729	13421
794	51786	13353
795	51845	13287
796	51901	13219
797	51967	13154
798	52039	13091
799	52108	13027
800	52176	12962
801	52242	12897
802	52301	12831
803	52357	12763
804	52414	12696
805	52477	12631
806	52532	12563
807	52595	12498
808	52650	12430
809	52710	12364
810	52770	12297
811	52829	12231
812	52882	12163
813	52945	12098
814	53007	12032
815	53064	11965
816	53128	11900
817	53189	11834
818	53249	11768
819	53315	11703
820	53386	11639
821	53449	11574
822	53516	11509
823	53575	11443
824	53642	11378
825	53696	11311
826	53758	11245
827	53825	11181
828	53885	11115
829	53946	11049
830	54005	10983
831	54067	10917
832	54125	10851
833	54177	10783
834	54241	10718
835	54296	10651
836	54356	10585
837	54414	10519
838	54472	10452
839	54529	10386
840	54588	10320
841	54655	10255
842	54720	10191
843	54785	10126
844	54850	10061
845	54913	9996
846	54978	9931
847	55036	9865
848	55099	9799
849	55158	9733
850	55221	9668
851	55278	9602
852	55334	9535
853	55390	9469
854	55448	9403
855	55514	9338
856	55578	9273
857	55633	9207
858	55689	9141
859	55743	9074
860	55809	9009
861	55866	8943
862	55925	8878
863	55992	8813
864	56057	8748
865	56122	8684
866	56195	8620
867	56254	8554
868	56309	8488
869	56371	8423
870	56426	8357
871	56481	8290
872	56537	8224
873	56596	8159
874	56663	8094
875	56722	8029
876	56778	7963
877	56837	7897
878	56897	7832
879	56957	7766
880	57012	7700
881	57075	7635
882	57137	7570
883	57199	7505
884	57263	7440
885	57326	7376
886	57391	7311
887	57454	7246
888	57516	7181
889	57570	7115
890	57631	7050
891	57686	6984
892	57740	6918
893	57799	6853
894	57864	6788
895	57923	6723
896	57986	6658
897	58047	6593
898	58105	6528
899	58164	6462
900	58220	6397
901	58274	6331
902	58333	6266
903	58399	6201
904	58460	6136
905	58526	6072
906	58595	6008
907	58652	5942
908	58715	5877
909	58775	5812
910	58835	5747
911	58890	5682
912	58951	5617
913	59007	5552
914	59066	5487
915	59121	5421
916	59179	5356
917	59242	5291
918	59296	5226
919	59365	5162
920	59433	5097
921	59490	5032
922	59549	4967
923	59609	4902
924	59665	4837
925	59722	4772
926	59778	4707
927	59845	4643
928	59907	4578
929	59970	4513
930	60037	4449
931	60097	4384
932	60154	4319
933	60208	4254
934	60261	4189
935	60327	4124
936	60385	4060
937	60442	3995
938	60505	3930
939	60569	3866
940	60628	3801
941	60687	3736
942	60742	3671
943	60806	3607
944	60865	3542
945	60924	3477
946	60990	3413
947	61058	3349
948	61118	3284
949	61179	3219
950	61240	3155
951	61298	3090
952	61365	3026
953	61418	2961
954	61480	2896
955	61581	2834
956	61695	2772
957	61766	2707
958	61828	2643
959	61889	2578
960	61947	2514
961	62007	2449
962	62070	2384
963	62125	2320
964	62189	2255
965	62245	2190
966	62308	2126
967	62370	2061
968	62441	1997
969	62520	1933
970	62584	1869
971	62648	1804
972	62703	1739
973	62763	1675
974	62824	1610
975	62886	1546
976	62949	1481
977	63004	1417
978	63066	1352
979	63128	1288
980	63192	1223
981	63250	1159
982	63311	1094
983	63365	1030
984	63426	965
985	63480	901
986	63541	836
987	63598	772
988	63660	708
989	63726	643
990	63788	579
991	63856	514
992	63914	450
993	63981	386
994	64043	321
995	64099	257
996	64153	193
997	64210	128
998	64268	64
999	64325	0
